Transaction ID,Date,Account Number,Bank Name,Bank Statement Amount,Book Records Amount,Match Status
TXN-000126,2023-05-06,ACCT-395998,Bank of America,-3.9939327,-4.03486,Break
TXN-000127,2023-05-07,ACCT-834401,Citibank,-3.9272077,-3.6874938,Break
TXN-000131,2023-05-11,ACCT-113707,Chase,-3.6568089,-3.9693716,Match
TXN-000134,2023-05-14,ACCT-725311,Bank of America,-4.005633,-4.097629,Break
TXN-000138,2023-05-18,ACCT-890636,Citibank,-3.5136235,-3.5281234,Match
TXN-000141,2023-05-21,ACCT-996865,Bank of America,-4.0056357,-4.0976353,Match
TXN-000142,2023-05-22,ACCT-453646,Bank of America,-4.0055885,-4.0976124,Match
TXN-000146,2023-05-26,ACCT-595712,HSBC,1862.1957,1506.4915,Match
TXN-000148,2023-05-28,ACCT-436802,Wells Fargo,86.00821,191.50645,Break
TXN-000149,2023-05-29,ACCT-314821,Citibank,377.18698,1306.841,Break
TXN-000154,2023-06-03,ACCT-789046,Bank of America,-4.0056353,-4.097635,Break
TXN-000155,2023-06-04,ACCT-479520,Bank of America,-4.0054274,-4.0972652,Break
TXN-000156,2023-06-05,ACCT-799110,HSBC,2681.3472,2568.0483,Match
TXN-000159,2023-06-08,ACCT-896361,Wells Fargo,-4.0047507,-4.095928,Break
TXN-000162,2023-06-11,ACCT-796635,Chase,-3.9955812,-4.089079,Break
TXN-000163,2023-06-12,ACCT-599091,Citibank,181.297,441.25095,Break
TXN-000164,2023-06-13,ACCT-853209,Bank of America,-4.005636,-4.097636,Match
TXN-000190,2023-07-09,ACCT-096713,Citibank,-4.0053906,-4.097007,Break
TXN-000191,2023-07-10,ACCT-558265,Bank of America,-4.0056353,-4.0976315,Match
TXN-000198,2023-07-17,ACCT-009440,Chase,-4.005477,-4.0974603,Match
TXN-000203,2023-07-22,ACCT-253481,Citibank,-4.001461,-4.094413,Match
TXN-000205,2023-07-24,ACCT-724813,Chase,-4.005622,-4.0976253,Match
TXN-000207,2023-07-26,ACCT-817596,Chase,2762.3186,2537.4355,Match
TXN-000208,2023-07-27,ACCT-645443,HSBC,2570.645,2167.3213,Break
TXN-000214,2023-08-02,ACCT-208932,Bank of America,-4.005354,-4.096182,Break
TXN-000225,2023-08-13,ACCT-933224,Citibank,1811.6649,1489.1377,Match
TXN-000226,2023-08-14,ACCT-360467,Bank of America,-3.9822948,-4.017047,Break
TXN-000227,2023-08-15,ACCT-785229,Chase,-4.003834,-4.0931687,Break
TXN-000233,2023-08-21,ACCT-112372,Chase,0.9726633,-0.14274968,Match
TXN-000236,2023-08-24,ACCT-461311,Citibank,-3.791592,-3.486652,Break
TXN-000237,2023-08-25,ACCT-026969,Chase,-4.005636,-4.097636,Break
TXN-000238,2023-08-26,ACCT-722063,Chase,2781.3276,2672.6177,Match
TXN-000242,2023-08-30,ACCT-419116,Wells Fargo,-4.0055594,-4.0975637,Break
TXN-000244,2023-09-01,ACCT-845356,Bank of America,-4.005636,-4.097636,Break
TXN-000247,2023-09-04,ACCT-026318,Citibank,-4.0050626,-4.09717,Break
TXN-000250,2023-09-07,ACCT-904244,Bank of America,-4.0056295,-4.097629,Match
TXN-000256,2023-09-13,ACCT-933224,Citibank,-4.004732,-4.097116,Match
TXN-000259,2023-09-16,ACCT-207882,Wells Fargo,-3.9718802,-4.066113,Match
TXN-000261,2023-09-18,ACCT-451010,Bank of America,-4.0040107,-4.0920196,Break
TXN-000262,2023-09-19,ACCT-203881,Citibank,-2.3434436,0.17123161,Break
TXN-000263,2023-09-20,ACCT-861459,Chase,-4.005635,-4.097635,Match
TXN-000265,2023-09-22,ACCT-195888,Citibank,-3.48583,-3.2024274,Match
TXN-000270,2023-09-27,ACCT-451158,Bank of America,-3.922221,-3.8457227,Break
TXN-000272,2023-09-29,ACCT-891315,Citibank,318.36606,344.37515,Match
TXN-000278,2023-10-05,ACCT-381816,Citibank,-3.248078,-3.7201827,Match
TXN-000281,2023-10-08,ACCT-755327,Bank of America,-3.3932648,-1.3652993,Break
TXN-000282,2023-10-09,ACCT-661512,Chase,977.63696,1688.0768,Break
TXN-000283,2023-10-10,ACCT-030369,Chase,-4.0056357,-4.097636,Match
TXN-000286,2023-10-13,ACCT-861558,Chase,-4.0050626,-4.0963826,Break
TXN-000295,2023-10-22,ACCT-435418,Bank of America,-4.0036445,-4.094056,Match
TXN-000302,2023-10-29,ACCT-803221,Chase,20.016096,35.24773,Match
TXN-000303,2023-10-30,ACCT-028997,Bank of America,-3.6221058,-3.6973245,Match
TXN-000307,2023-11-03,ACCT-250165,Citibank,18.573456,102.640724,Break
TXN-000314,2023-11-10,ACCT-935856,Bank of America,-4.0056357,-4.0976357,Match
TXN-000318,2023-11-14,ACCT-001662,Bank of America,-4.0056067,-4.0975566,Break
TXN-000330,2023-11-26,ACCT-071731,Bank of America,1220.9908,1083.3068,Match
TXN-000339,2023-12-05,ACCT-667611,Citibank,-1.616747,5.536435,Break
TXN-000341,2023-12-07,ACCT-968456,HSBC,578.70917,397.46005,Match
TXN-000342,2023-12-08,ACCT-354523,Chase,-4.0047283,-4.0955954,Break
TXN-000343,2023-12-09,ACCT-202044,Chase,-3.9968596,-4.084415,Match
TXN-000344,2023-12-10,ACCT-476522,Citibank,-3.457251,-3.1674864,Break
TXN-000346,2023-12-12,ACCT-346025,Citibank,194.44989,630.80707,Break
TXN-000353,2023-12-19,ACCT-594168,Citibank,-3.6943648,-3.6215782,Break
TXN-000360,2023-12-26,ACCT-605757,Citibank,-3.320081,-3.3978736,Match
TXN-000362,2023-12-28,ACCT-153687,Bank of America,-3.9854052,-4.057556,Match
TXN-000363,2023-12-29,ACCT-373641,Bank of America,0.75530183,4.004081,Match
TXN-000364,2023-12-30,ACCT-864704,Citibank,80.835655,257.8834,Break
TXN-000365,2023-12-31,ACCT-631086,HSBC,-4.0035753,-4.095426,Break
TXN-000366,2024-01-01,ACCT-194594,Bank of America,-4.0055647,-4.097597,Match
TXN-000370,2024-01-05,ACCT-790121,Chase,-3.7506628,-3.5338287,Match
TXN-000371,2024-01-06,ACCT-645419,Chase,-3.9699695,-4.0672755,Match
TXN-000375,2024-01-10,ACCT-777624,Bank of America,-3.689603,-2.850627,Break
TXN-000378,2024-01-13,ACCT-080317,Chase,2.0815403,5.8633766,Break
TXN-000385,2024-01-20,ACCT-943460,Bank of America,-4.005636,-4.097636,Match
TXN-000391,2024-01-26,ACCT-608171,HSBC,-0.49021354,-1.8402749,Match
TXN-000392,2024-01-27,ACCT-701439,Wells Fargo,-3.9969664,-4.087808,Break
TXN-000393,2024-01-28,ACCT-858095,Citibank,-4.005636,-4.097636,Match
TXN-000396,2024-01-31,ACCT-558533,Bank of America,-4.00559,-4.0974813,Break
TXN-000399,2024-02-03,ACCT-107142,HSBC,-4.005636,-4.097636,Break
TXN-000400,2024-02-04,ACCT-456238,Chase,-3.419181,-3.1192327,Break
TXN-000405,2024-02-09,ACCT-904704,Bank of America,-4.0052524,-4.0967436,Break
TXN-000406,2024-02-10,ACCT-361735,Chase,-1.7677943,4.1318846,Break
TXN-000407,2024-02-11,ACCT-736829,HSBC,-4.0011177,-4.0889153,Break
TXN-000408,2024-02-12,ACCT-798118,Chase,11.578093,21.786068,Break
TXN-000413,2024-02-17,ACCT-157192,Chase,2522.2798,2260.9224,Match
TXN-000418,2024-02-22,ACCT-805118,Wells Fargo,-4.003454,-4.093579,Break
TXN-000420,2024-02-24,ACCT-577263,Bank of America,-4.005622,-4.097623,Match
TXN-000424,2024-02-28,ACCT-369320,Citibank,-4.005296,-4.0971766,Match
TXN-000425,2024-02-29,ACCT-167548,Chase,15.627193,18.859173,Match
TXN-000432,2024-03-07,ACCT-205562,Bank of America,-3.9287689,-4.064059,Match
TXN-000442,2024-03-17,ACCT-711031,Citibank,-4.005636,-4.097636,Break
TXN-000449,2024-03-24,ACCT-598765,Bank of America,-4.0053873,-4.097148,Break
TXN-000455,2024-03-30,ACCT-457591,Bank of America,-3.9983025,-4.086317,Match
TXN-000457,2024-04-01,ACCT-099067,Wells Fargo,-4.00043,-4.0890636,Break
TXN-000459,2024-04-03,ACCT-026473,HSBC,27.172832,19.243092,Match
TXN-000460,2024-04-04,ACCT-592321,Citibank,17.102755,31.245487,Match
TXN-000461,2024-04-05,ACCT-476418,Citibank,85.446266,87.66687,Match
TXN-000465,2024-04-09,ACCT-422988,Wells Fargo,7.139597,5.854268,Match
TXN-000467,2024-04-11,ACCT-482629,Chase,-3.9872606,-4.0481086,Break
TXN-000476,2024-04-20,ACCT-097424,Wells Fargo,-3.316833,-3.5425708,Break
TXN-000482,2024-04-26,ACCT-233203,Bank of America,-4.005636,-4.097636,Break
TXN-000483,2024-04-27,ACCT-131502,Citibank,-4.005551,-4.097365,Break
TXN-000485,2024-04-29,ACCT-386214,Wells Fargo,-3.5348854,-2.8800006,Break
TXN-000489,2024-05-03,ACCT-826146,Bank of America,-4.0051103,-4.0951676,Break
TXN-000500,2024-05-14,ACCT-207309,Citibank,-4.005605,-4.09757,Break
TXN-000503,2024-05-17,ACCT-930718,HSBC,660.10297,748.8591,Break
TXN-000505,2024-05-19,ACCT-245046,Chase,-3.9456291,-4.014437,Match
TXN-000513,2024-05-27,ACCT-207309,Bank of America,-4.0055604,-4.0974407,Break
TXN-000515,2024-05-29,ACCT-505837,Citibank,-4.0025387,-4.09246,Match
TXN-000522,2024-06-05,ACCT-277612,Citibank,-4.005624,-4.097627,Match
TXN-000523,2024-06-06,ACCT-861566,Chase,-4.0024285,-4.086504,Break
TXN-000524,2024-06-07,ACCT-701150,Citibank,-3.8694234,-3.9692304,Match
TXN-000526,2024-06-09,ACCT-467739,Bank of America,-4.001431,-4.0905356,Break
TXN-000527,2024-06-10,ACCT-651575,Citibank,-3.608886,-2.997122,Break
TXN-000530,2024-06-13,ACCT-273433,Bank of America,-4.005636,-4.097636,Break
TXN-000537,2024-06-20,ACCT-013478,Citibank,27.611124,26.616745,Match
TXN-000538,2024-06-21,ACCT-560120,HSBC,-3.3271053,-3.4631245,Break
TXN-000540,2024-06-23,ACCT-579650,Citibank,-2.8756335,-0.64508235,Break
TXN-000542,2024-06-25,ACCT-865889,HSBC,-3.8400853,-3.5746315,Break
TXN-000543,2024-06-26,ACCT-820900,HSBC,-4.0056343,-4.0976353,Match
TXN-000546,2024-06-29,ACCT-296522,Citibank,-3.9543142,-3.8712733,Break
TXN-000547,2024-06-30,ACCT-846610,HSBC,-3.4119024,-3.5599027,Break
TXN-000553,2024-07-06,ACCT-377879,Citibank,210.64598,158.01823,Match
TXN-000557,2024-07-10,ACCT-052254,Bank of America,-4.0056005,-4.0975327,Break
TXN-000560,2024-07-13,ACCT-733741,Citibank,10.927588,51.285007,Break
TXN-000561,2024-07-14,ACCT-207462,Bank of America,0.012668938,-0.71874106,Match
TXN-000563,2024-07-16,ACCT-660181,Bank of America,403.4092,554.74744,Break
TXN-000570,2024-07-23,ACCT-118393,HSBC,-2.1302874,0.35308966,Break
TXN-000572,2024-07-25,ACCT-685881,Wells Fargo,-3.9996176,-4.077838,Break
TXN-000573,2024-07-26,ACCT-164086,Chase,-3.9969237,-4.0563593,Break
TXN-000575,2024-07-28,ACCT-317340,Bank of America,-3.9630053,-4.068815,Match
TXN-000576,2024-07-29,ACCT-663574,Citibank,111.43769,99.74922,Break
TXN-000581,2024-08-03,ACCT-014571,Citibank,-3.2747207,-2.7016485,Break
TXN-000582,2024-08-04,ACCT-038844,Chase,-3.9807563,-4.001451,Break
TXN-000584,2024-08-06,ACCT-822969,Citibank,-4.005633,-4.0976334,Match
TXN-000588,2024-08-10,ACCT-942524,HSBC,319.5499,583.90643,Break
TXN-000594,2024-08-16,ACCT-195188,Chase,-3.9076595,-4.015729,Match
TXN-000596,2024-08-18,ACCT-292303,Chase,1501.2548,1788.8447,Break
TXN-000598,2024-08-20,ACCT-343563,Citibank,-4.005215,-4.0948095,Break
TXN-000601,2024-08-23,ACCT-373864,Bank of America,-3.875242,-3.93734,Break
TXN-000607,2024-08-29,ACCT-894238,Citibank,-4.0056267,-4.0976076,Break
TXN-000609,2024-08-31,ACCT-613995,Chase,35.124424,15.725642,Match
TXN-000611,2024-09-02,ACCT-784281,Bank of America,-4.005636,-4.097636,Match
TXN-000613,2024-09-04,ACCT-915185,Citibank,0.88292015,0.5243553,Match
TXN-000615,2024-09-06,ACCT-787458,Bank of America,-3.537475,-2.7399724,Break
TXN-000620,2024-09-11,ACCT-764542,Citibank,-4.00391,-4.094843,Match
TXN-000630,2024-09-21,ACCT-039829,Citibank,92.268105,311.15625,Break
TXN-000631,2024-09-22,ACCT-163096,Citibank,5.0778437,16.894722,Break
TXN-000632,2024-09-23,ACCT-361295,HSBC,652.7517,873.6238,Break
TXN-000633,2024-09-24,ACCT-955660,Bank of America,-3.9290378,-3.8436613,Break
TXN-000635,2024-09-26,ACCT-750484,Chase,11.0732,56.474194,Break
TXN-000636,2024-09-27,ACCT-245141,Bank of America,-4.0051713,-4.0970993,Match
TXN-000639,2024-09-30,ACCT-324031,Bank of America,-4.005585,-4.097602,Match
TXN-000640,2024-10-01,ACCT-389680,HSBC,-3.7123532,-3.3143346,Break
TXN-000646,2024-10-07,ACCT-751147,Chase,1915.0416,1906.8,Match
TXN-000647,2024-10-08,ACCT-596627,Bank of America,-4.005616,-4.0976033,Break
TXN-000652,2024-10-13,ACCT-489685,Citibank,-4.005285,-4.09722,Match
TXN-000660,2024-10-21,ACCT-294458,Citibank,-1.6520258,3.267575,Break
TXN-000661,2024-10-22,ACCT-932380,Bank of America,-4.003924,-4.0944476,Break
TXN-000662,2024-10-23,ACCT-070649,Bank of America,-3.423139,-3.359828,Match
TXN-000664,2024-10-25,ACCT-646408,Citibank,56.620186,37.667393,Break
TXN-000667,2024-10-28,ACCT-426731,Chase,1853.5244,2189.8652,Break
TXN-000668,2024-10-29,ACCT-318247,Chase,-4.003253,-4.0872264,Match
TXN-000670,2024-10-31,ACCT-340575,Citibank,-3.9904697,-4.0482197,Break
TXN-000672,2024-11-02,ACCT-399011,Citibank,-3.8837097,-3.9360034,Match
TXN-000686,2024-11-16,ACCT-274854,Wells Fargo,-4.005631,-4.0976276,Break
TXN-000687,2024-11-17,ACCT-444684,Bank of America,-4.005247,-4.096053,Break
TXN-000688,2024-11-18,ACCT-146975,Chase,6.4020166,17.710945,Break
TXN-000689,2024-11-19,ACCT-016686,Chase,2831.477,2749.7349,Match
TXN-000690,2024-11-20,ACCT-549370,Chase,-4.005631,-4.097628,Match
TXN-000698,2024-11-28,ACCT-845906,Bank of America,-4.0043125,-4.0940747,Break
TXN-000699,2024-11-29,ACCT-846350,Chase,333.86658,425.75555,Match
TXN-000700,2024-11-30,ACCT-052826,HSBC,-3.9966557,-4.0906525,Break
TXN-000703,2024-12-03,ACCT-813174,HSBC,209.87503,161.92142,Match
TXN-000704,2024-12-04,ACCT-795010,HSBC,763.002,764.16016,Break
TXN-000708,2024-12-08,ACCT-873687,Chase,-4.0053144,-4.0974617,Match
TXN-000715,2024-12-15,ACCT-495246,Chase,-4.001563,-4.0943217,Match
TXN-000717,2024-12-17,ACCT-048389,Citibank,-4.0055356,-4.0975194,Match
TXN-000718,2024-12-18,ACCT-666819,Citibank,-3.8395815,-3.9017005,Break
TXN-000724,2024-12-24,ACCT-518062,Chase,6.250944,26.133236,Match
TXN-000727,2024-12-27,ACCT-385118,Chase,-3.674869,-3.8747845,Match
TXN-000728,2024-12-28,ACCT-911251,Bank of America,-4.0026464,-4.0903296,Break
TXN-000729,2024-12-29,ACCT-236980,HSBC,20.613874,54.01041,Break
TXN-000761,2025-01-30,ACCT-123278,Bank of America,24.178188,78.02413,Break
TXN-000768,2025-02-06,ACCT-088537,Citibank,-3.9864528,-4.0764723,Break
TXN-000769,2025-02-07,ACCT-868422,Citibank,-0.52153075,0.1356877,Break
TXN-000770,2025-02-08,ACCT-474650,Chase,-4.004539,-4.0932813,Break
TXN-000771,2025-02-09,ACCT-501143,Chase,131.17453,303.87628,Break
TXN-000772,2025-02-10,ACCT-146584,Citibank,1.1053423,2.777774,Break
TXN-000773,2025-02-11,ACCT-187148,Bank of America,-4.0056314,-4.097632,Break
TXN-000776,2025-02-14,ACCT-923874,HSBC,-3.9863734,-4.083695,Match
TXN-000779,2025-02-17,ACCT-769171,Bank of America,-2.1891758,-0.419547,Match
TXN-000781,2025-02-19,ACCT-292961,HSBC,2.0235136,11.147721,Break
TXN-000782,2025-02-20,ACCT-924815,Chase,-2.7700438,-2.4287696,Match
TXN-000785,2025-02-23,ACCT-949253,Bank of America,-4.001782,-4.0870085,Break
TXN-000789,2025-02-27,ACCT-138348,Bank of America,-4.0051723,-4.09714,Match
TXN-000792,2025-03-02,ACCT-447642,HSBC,91.51651,203.37265,Break
TXN-000793,2025-03-03,ACCT-637933,Citibank,1788.1936,1683.2466,Match
TXN-000794,2025-03-04,ACCT-194027,Bank of America,-4.0056357,-4.097636,Match
TXN-000805,2025-03-15,ACCT-986497,Citibank,0.0115383575,0.0033725284,Match
TXN-000807,2025-03-17,ACCT-278451,Bank of America,-3.7706137,-3.5442028,Match
TXN-000815,2025-03-25,ACCT-859464,Chase,2771.7593,2710.6365,Match
TXN-000820,2025-03-30,ACCT-916417,Bank of America,-4.0038085,-4.0965433,Match
TXN-000823,2025-04-02,ACCT-074136,Chase,443.18106,516.1879,Match
TXN-000824,2025-04-03,ACCT-313665,Bank of America,-4.005636,-4.097636,Match
TXN-000825,2025-04-04,ACCT-558635,Chase,376.1016,453.16586,Match
TXN-000826,2025-04-05,ACCT-757547,Citibank,47.92086,47.964912,Match
TXN-000828,2025-04-07,ACCT-093855,Citibank,-4.001507,-4.0865784,Break
TXN-000831,2025-04-10,ACCT-249126,Chase,-3.8036437,-3.8168683,Match
TXN-000833,2025-04-12,ACCT-098554,Bank of America,-3.9968865,-4.043041,Break
TXN-000837,2025-04-16,ACCT-289989,Citibank,-3.288631,-3.4239776,Match
TXN-000840,2025-04-19,ACCT-077110,Bank of America,-4.0056305,-4.0976243,Break
TXN-000841,2025-04-20,ACCT-126744,Bank of America,-4.005631,-4.0976224,Break
TXN-000846,2025-04-25,ACCT-064244,Bank of America,-3.9816384,-4.0108004,Break
TXN-000847,2025-04-26,ACCT-177991,Chase,-4.005636,-4.097636,Break
TXN-000852,2025-05-01,ACCT-288484,Citibank,-3.9575076,-4.052287,Match
TXN-000854,2025-05-03,ACCT-573917,Chase,-4.005636,-4.097636,Break
TXN-000855,2025-05-04,ACCT-283001,HSBC,-3.5587301,-3.1295269,Break
TXN-000856,2025-05-05,ACCT-679469,Chase,-4.0055504,-4.097568,Match
TXN-000861,2025-05-10,ACCT-162232,HSBC,193.42221,226.66585,Break
TXN-000864,2025-05-13,ACCT-574873,Citibank,-3.969094,-4.059902,Match
TXN-000868,2025-05-17,ACCT-934070,HSBC,1235.4431,1725.1758,Break
TXN-000875,2025-05-24,ACCT-378590,Chase,229.45914,166.0194,Match
TXN-000876,2025-05-25,ACCT-170980,HSBC,1701.1858,1910.0272,Break
TXN-000877,2025-05-26,ACCT-291235,Citibank,-1.5796958,-1.6638504,Match
TXN-000879,2025-05-28,ACCT-488679,Citibank,-3.3644295,-3.1178033,Break
TXN-000883,2025-06-01,ACCT-769496,Citibank,-2.242231,-1.3743633,Match
TXN-000892,2025-06-10,ACCT-076162,Chase,258.40582,382.5272,Break
TXN-000893,2025-06-11,ACCT-794591,Citibank,9.0195265,73.37888,Break
TXN-000895,2025-06-13,ACCT-183972,Chase,-4.0043178,-4.0949564,Break
TXN-000896,2025-06-14,ACCT-173610,Citibank,384.49744,640.7998,Match
TXN-000900,2025-06-18,ACCT-492484,HSBC,-4.002485,-4.092796,Break
TXN-000901,2025-06-19,ACCT-586499,HSBC,-3.81987,-3.3392222,Break
TXN-000906,2025-06-24,ACCT-773727,HSBC,2729.6543,2615.9907,Match
TXN-000918,2025-07-06,ACCT-838140,Citibank,-3.6783078,-2.8386157,Break
TXN-000919,2025-07-07,ACCT-264003,Wells Fargo,1089.157,1418.9193,Break
TXN-000921,2025-07-09,ACCT-297997,Chase,-1.8001341,-2.7213118,Match
TXN-000923,2025-07-11,ACCT-453893,Citibank,79.44924,270.4968,Break
TXN-000924,2025-07-12,ACCT-981239,Bank of America,20.997366,54.43423,Break
TXN-000925,2025-07-13,ACCT-942605,Chase,-4.0002775,-4.088976,Break
TXN-000929,2025-07-17,ACCT-000465,Bank of America,-3.7681384,-3.5731788,Break
TXN-000931,2025-07-19,ACCT-192284,HSBC,71.66396,87.9838,Break
TXN-000934,2025-07-22,ACCT-211975,Chase,-4.005636,-4.097636,Match
TXN-000936,2025-07-24,ACCT-548118,Chase,30.792044,96.30241,Break
TXN-000937,2025-07-25,ACCT-164000,Citibank,-3.8523674,-3.9133492,Break
TXN-000944,2025-08-01,ACCT-538534,HSBC,-3.9256542,-4.0506096,Match
TXN-000949,2025-08-06,ACCT-874239,Chase,-4.0051274,-4.095577,Break
TXN-000951,2025-08-08,ACCT-841740,Chase,2730.1677,2797.4517,Match
TXN-000952,2025-08-09,ACCT-493161,Citibank,2.364207,2.1788847,Match
TXN-000954,2025-08-11,ACCT-383532,Citibank,133.73232,82.052025,Break
TXN-000955,2025-08-12,ACCT-743726,HSBC,776.9039,959.0337,Break
TXN-000956,2025-08-13,ACCT-203881,Wells Fargo,-4.0056257,-4.0976253,Break
TXN-000957,2025-08-14,ACCT-670047,Wells Fargo,-3.997769,-4.07618,Break
TXN-000960,2025-08-17,ACCT-272020,Bank of America,-4.005412,-4.097424,Break
TXN-000963,2025-08-20,ACCT-275424,Wells Fargo,5.5972204,3.73222,Break
TXN-000964,2025-08-21,ACCT-926239,Chase,-4.0055923,-4.097601,Break
TXN-000967,2025-08-24,ACCT-816662,HSBC,8.981345,24.698605,Break
TXN-000969,2025-08-26,ACCT-292205,Citibank,2183.3545,1733.9172,Match
TXN-000975,2025-09-01,ACCT-170775,Citibank,19.114647,26.258015,Match
TXN-000977,2025-09-03,ACCT-027693,Citibank,2102.1924,2278.39,Match
TXN-000981,2025-09-07,ACCT-806475,Chase,1254.0953,1387.8871,Match
TXN-000985,2025-09-11,ACCT-364188,Citibank,2484.3274,2349.4802,Match
TXN-000986,2025-09-12,ACCT-781114,Citibank,-3.847651,-3.9807022,Break
TXN-000987,2025-09-13,ACCT-664082,Bank of America,50.27447,33.797832,Match
TXN-000988,2025-09-14,ACCT-271917,HSBC,608.55176,945.23193,Break
TXN-000989,2025-09-15,ACCT-245715,Chase,-3.2351568,-1.5763217,Break
TXN-000996,2025-09-22,ACCT-996609,Bank of America,-4.0056343,-4.097634,Match
TXN-001001,2025-09-27,ACCT-385614,HSBC,-4.005636,-4.097636,Break
TXN-001008,2025-10-04,ACCT-164619,Citibank,-4.0002646,-4.093373,Match
TXN-001012,2025-10-08,ACCT-714654,HSBC,-3.9648306,-4.0680423,Match
TXN-001013,2025-10-09,ACCT-583712,HSBC,4.8701897,1.2323197,Match
TXN-001014,2025-10-10,ACCT-301809,Wells Fargo,-4.005402,-4.0972033,Break
TXN-001016,2025-10-12,ACCT-814739,Bank of America,-4.005518,-4.09754,Match
TXN-001017,2025-10-13,ACCT-057494,Bank of America,-4.0054674,-4.097443,Break
TXN-001020,2025-10-16,ACCT-950780,HSBC,-4.0054164,-4.097015,Break
TXN-001022,2025-10-18,ACCT-212045,Bank of America,-4.005636,-4.097636,Match
TXN-001029,2025-10-25,ACCT-837812,Chase,-4.0055785,-4.097464,Break
TXN-001032,2025-10-28,ACCT-424697,Citibank,-4.0027523,-4.0951753,Match
TXN-001038,2025-11-03,ACCT-817605,Wells Fargo,973.22894,790.6944,Break
TXN-001041,2025-11-06,ACCT-791389,Chase,94.692154,195.1532,Break
TXN-001044,2025-11-09,ACCT-192042,Chase,172.18109,205.70122,Match
TXN-001046,2025-11-11,ACCT-021442,Citibank,2071.8367,2072.6318,Match
TXN-001049,2025-11-14,ACCT-122805,HSBC,-2.61778,0.3061646,Break
TXN-001051,2025-11-16,ACCT-542425,Citibank,-3.9958777,-4.088781,Match
TXN-001059,2025-11-24,ACCT-714762,HSBC,9.953395,14.54408,Match
TXN-001060,2025-11-25,ACCT-648472,Chase,986.15045,1743.3174,Break
TXN-001061,2025-11-26,ACCT-574516,Chase,-3.9976037,-4.0688205,Break
TXN-001063,2025-11-28,ACCT-726875,Citibank,-3.9473445,-4.042175,Match
TXN-001064,2025-11-29,ACCT-572293,Citibank,564.35077,1001.0662,Break
TXN-001066,2025-12-01,ACCT-774999,Bank of America,13.643438,11.667298,Match
TXN-001067,2025-12-02,ACCT-859317,Bank of America,-3.970618,-4.0356297,Break
TXN-001068,2025-12-03,ACCT-676423,Chase,-3.997745,-4.0689178,Break
TXN-001070,2025-12-05,ACCT-579289,Chase,1045.0093,1002.4514,Match
TXN-001071,2025-12-06,ACCT-923418,HSBC,-3.892237,-3.9085472,Break
TXN-001073,2025-12-08,ACCT-565872,Bank of America,-4.0056276,-4.0975904,Match
TXN-001078,2025-12-13,ACCT-359575,Bank of America,-3.38982,-3.4901228,Match
TXN-001081,2025-12-16,ACCT-257344,Chase,840.06067,1779.7958,Break
TXN-001082,2025-12-17,ACCT-191681,Citibank,-3.7296915,-3.9131272,Match
