Transaction ID,Date,Account Number,Bank Name,Bank Statement Amount,Book Records Amount,Match Status,Break Reason
TXN-003338,2032-02-20,ACCT-473447,Bank of America,-4.0055847,-4.097365,Break,Timing Difference
TXN-005590,2038-04-21,ACCT-616306,Bank of America,-4.005636,-4.097636,Break,Bank Error
TXN-000252,2023-09-09,ACCT-089825,Citibank,-3.9655433,-4.05331,Match,
TXN-003974,2033-11-17,ACCT-218462,Bank of America,-3.8748615,-3.343278,Break,Missing in Bank
TXN-006631,2041-02-25,ACCT-530363,Citibank,-3.7330563,-2.6546106,Break,Missing in Bank
TXN-005548,2038-03-10,ACCT-331364,Chase,-3.7178562,-3.3504033,Break,Missing in Bank
TXN-000036,2023-02-05,ACCT-507879,Bank of America,-4.0056357,-4.0976324,Break,Missing in Books
TXN-008363,2045-11-23,ACCT-272050,Bank of America,-3.8839362,-3.6477494,Break,Missing in Books
TXN-001514,2027-02-22,ACCT-189426,Chase,-4.004828,-4.0940332,Break,Fraudulent/Unauthorized
TXN-009318,2048-07-05,ACCT-424353,HSBC,-3.899027,-3.9506063,Break,Timing Difference
TXN-000040,2023-02-09,ACCT-727941,Wells Fargo,2305.475,1805.9447,Match,
TXN-004820,2036-03-12,ACCT-144794,HSBC,-2.6726217,-1.017558,Break,Amount Mismatch
TXN-003466,2032-06-27,ACCT-165427,Bank of America,-3.9853053,-4.081348,Match,
TXN-001761,2027-10-27,ACCT-583879,HSBC,775.27765,783.2483,Match,
TXN-002305,2029-04-23,ACCT-894840,Citibank,1474.4248,1586.7987,Match,
TXN-003724,2033-03-12,ACCT-344835,Chase,823.3842,819.28937,Match,
TXN-008285,2045-09-06,ACCT-867583,Citibank,-4.005636,-4.097636,Match,
TXN-004994,2036-09-02,ACCT-864704,Chase,-3.91405,-4.0203857,Match,
TXN-008128,2045-04-02,ACCT-740499,Wells Fargo,-4.0056205,-4.0976067,Break,Timing Difference
TXN-003033,2031-04-21,ACCT-935962,Bank of America,589.17914,940.6062,Match,
TXN-007939,2044-09-25,ACCT-904486,Wells Fargo,-0.98098075,0.5978378,Break,Missing in Bank
TXN-003040,2031-04-28,ACCT-125660,Wells Fargo,-4.005636,-4.097636,Match,
TXN-009656,2049-06-08,ACCT-458481,Bank of America,-3.9965146,-4.0842047,Match,
TXN-002546,2029-12-20,ACCT-712262,Citibank,986.67426,908.6064,Match,
TXN-002593,2030-02-05,ACCT-536648,Wells Fargo,2024.2096,1969.983,Match,
TXN-001189,2026-04-03,ACCT-756307,Citibank,324.47525,877.4828,Match,
TXN-007967,2044-10-23,ACCT-131472,Chase,-3.6343086,-3.7167192,Break,Missing in Bank
TXN-006078,2039-08-22,ACCT-260861,HSBC,-3.2048507,-3.537979,Break,Bank Error
TXN-000108,2023-04-18,ACCT-949519,Bank of America,0.13060841,1.8885626,Match,
TXN-001316,2026-08-08,ACCT-558318,Citibank,-3.9984267,-4.0877934,Match,
TXN-008188,2045-06-01,ACCT-293431,Wells Fargo,222.23376,246.41428,Break,Bank Error
TXN-002754,2030-07-16,ACCT-749866,Citibank,187.99153,347.76993,Match,
TXN-009754,2049-09-14,ACCT-815277,Citibank,-3.5728354,-2.9361386,Break,Fraudulent/Unauthorized
TXN-006232,2040-01-23,ACCT-697095,Citibank,23.73577,47.525967,Break,Amount Mismatch
TXN-002877,2030-11-16,ACCT-060662,Chase,27.232317,50.904034,Break,Timing Difference
TXN-005324,2037-07-29,ACCT-890237,Bank of America,-3.9803543,-4.0219927,Break,Fraudulent/Unauthorized
TXN-000800,2025-03-10,ACCT-942342,Bank of America,-4.0056357,-4.0976357,Match,
TXN-003571,2032-10-10,ACCT-504645,Citibank,-4.005636,-4.097636,Break,Amount Mismatch
TXN-002895,2030-12-04,ACCT-367796,Wells Fargo,-4.005636,-4.097636,Match,
TXN-002928,2031-01-06,ACCT-369320,Bank of America,1073.8423,1667.9863,Break,Missing in Books
TXN-008179,2045-05-23,ACCT-828178,Bank of America,-3.9770088,-4.044115,Break,Bank Error
TXN-000972,2025-08-29,ACCT-451010,Bank of America,-4.005636,-4.097636,Break,Bank Error
TXN-006688,2041-04-23,ACCT-190036,HSBC,31.24328,64.5141,Break,Fraudulent/Unauthorized
TXN-008576,2046-06-24,ACCT-884596,HSBC,-4.005636,-4.097636,Break,Bank Error
TXN-002021,2028-07-13,ACCT-736066,Bank of America,-4.005631,-4.097633,Match,
TXN-009055,2047-10-16,ACCT-917749,Citibank,-4.005452,-4.0974135,Break,Amount Mismatch
TXN-000953,2025-08-10,ACCT-464207,HSBC,-3.9957967,-4.093726,Match,
TXN-005360,2037-09-03,ACCT-914530,Citibank,990.80646,1182.9363,Break,Amount Mismatch
TXN-003858,2033-07-24,ACCT-913181,Chase,275.44492,437.34012,Match,
TXN-005862,2039-01-18,ACCT-505025,Citibank,-2.676648,1.2504734,Break,Amount Mismatch
TXN-003146,2031-08-12,ACCT-346698,Bank of America,-4.005636,-4.097636,Break,Duplicate Entry
TXN-003306,2032-01-19,ACCT-176539,Citibank,-4.005631,-4.09763,Break,Bank Error
TXN-003007,2031-03-26,ACCT-317256,Bank of America,-4.0045843,-4.096534,Match,
TXN-009002,2047-08-24,ACCT-624082,Bank of America,-4.005378,-4.0966525,Break,Bank Error
TXN-007771,2044-04-10,ACCT-212783,Bank of America,-4.0056357,-4.0976357,Match,
TXN-007439,2043-05-14,ACCT-643092,Bank of America,-4.0056343,-4.0976334,Break,Duplicate Entry
TXN-007943,2044-09-29,ACCT-639165,Citibank,-3.56973,-2.1132941,Break,Bank Error
TXN-009239,2048-04-17,ACCT-456674,Wells Fargo,-3.9902582,-4.0719705,Break,Missing in Bank
TXN-001057,2025-11-22,ACCT-037133,Citibank,4.1443844,6.5118246,Break,Bank Error
TXN-003155,2031-08-21,ACCT-192042,Chase,-4.00549,-4.097198,Break,Missing in Books
TXN-003788,2033-05-15,ACCT-277508,HSBC,-3.131059,-3.2757137,Match,
TXN-009190,2048-02-28,ACCT-308864,Wells Fargo,-4.005636,-4.097636,Match,
TXN-007826,2044-06-04,ACCT-925366,Wells Fargo,-1.6176399,1.2680563,Break,Missing in Books
TXN-007540,2043-08-23,ACCT-417969,Citibank,-3.9471085,-3.9716702,Match,
TXN-007232,2042-10-19,ACCT-013478,Citibank,-4.0053315,-4.0973215,Match,
TXN-000765,2025-02-03,ACCT-064150,Bank of America,-4.005495,-4.0972414,Break,Missing in Bank
TXN-005020,2036-09-28,ACCT-042961,HSBC,79.75317,165.52606,Break,Amount Mismatch
TXN-004904,2036-06-04,ACCT-539857,Wells Fargo,-4.0055094,-4.097075,Break,Fraudulent/Unauthorized
TXN-008094,2045-02-27,ACCT-058103,Citibank,1557.7411,1986.3289,Break,Missing in Books
TXN-006844,2041-09-26,ACCT-421680,HSBC,5.16671,10.897469,Break,Fraudulent/Unauthorized
TXN-002166,2028-12-05,ACCT-274974,Bank of America,-4.005636,-4.097636,Match,
TXN-001863,2028-02-06,ACCT-826943,Chase,319.88168,386.66098,Break,Missing in Books
TXN-007851,2044-06-29,ACCT-237289,HSBC,-4.0056357,-4.0976353,Break,Timing Difference
TXN-009124,2047-12-24,ACCT-602894,Citibank,-3.7699873,-3.9175878,Match,
TXN-002341,2029-05-29,ACCT-157128,Bank of America,-3.9961035,-4.082402,Break,Missing in Bank
TXN-005528,2038-02-18,ACCT-561297,Citibank,-4.004477,-4.092829,Break,Amount Mismatch
TXN-006744,2041-06-18,ACCT-074520,HSBC,32.191227,36.349876,Match,
TXN-004004,2033-12-17,ACCT-904456,Wells Fargo,-3.201209,-3.6300535,Match,
TXN-001124,2026-01-28,ACCT-384542,Citibank,36.93583,37.655163,Match,
TXN-008710,2046-11-05,ACCT-381206,Citibank,37.73024,153.95647,Break,Duplicate Entry
TXN-004050,2034-02-01,ACCT-657386,Chase,1.8698543,0.69606674,Match,
TXN-007641,2043-12-02,ACCT-072284,Chase,-4.0055766,-4.097598,Match,
TXN-000766,2025-02-04,ACCT-402545,Wells Fargo,-4.0055223,-4.0975676,Match,
TXN-002345,2029-06-02,ACCT-565795,Chase,-3.9719648,-4.017348,Break,Missing in Books
TXN-004072,2034-02-23,ACCT-418532,Citibank,9.175085,30.490273,Break,Missing in Books
TXN-007217,2042-10-04,ACCT-050617,HSBC,-4.0052876,-4.097279,Break,Missing in Bank
TXN-004217,2034-07-18,ACCT-025171,HSBC,1677.3759,1822.451,Match,
TXN-007953,2044-10-09,ACCT-501697,Citibank,-1.6703497,-2.2267525,Match,
TXN-005971,2039-05-07,ACCT-403601,Wells Fargo,-4.001178,-4.088946,Break,Missing in Bank
TXN-003351,2032-03-04,ACCT-649909,Chase,79.28938,48.045685,Match,
TXN-004696,2035-11-09,ACCT-950558,HSBC,-3.711664,-3.265351,Break,Fraudulent/Unauthorized
TXN-003400,2032-04-22,ACCT-146695,Bank of America,-3.8854582,-3.985363,Match,
TXN-004082,2034-03-05,ACCT-730583,Citibank,392.82495,283.67612,Match,
TXN-009150,2048-01-19,ACCT-420484,Bank of America,-4.005636,-4.097636,Match,
TXN-001225,2026-05-09,ACCT-348180,Wells Fargo,353.91968,386.09854,Break,Missing in Bank
TXN-006293,2040-03-24,ACCT-023729,Bank of America,-4.0051727,-4.0965977,Break,Duplicate Entry
TXN-003123,2031-07-20,ACCT-580032,Chase,1513.2015,1238.8379,Match,
TXN-000511,2024-05-25,ACCT-550564,Wells Fargo,-3.9852555,-4.0705132,Match,
TXN-005795,2038-11-12,ACCT-472366,Citibank,10.345309,31.905964,Break,Duplicate Entry
TXN-008182,2045-05-26,ACCT-779820,HSBC,-3.6688304,-3.3759058,Break,Fraudulent/Unauthorized
TXN-009418,2048-10-13,ACCT-935856,Citibank,-3.8122463,-3.4462745,Break,Missing in Bank
TXN-000097,2023-04-07,ACCT-165351,Citibank,52.860718,77.91481,Break,Missing in Books
TXN-006682,2041-04-17,ACCT-464489,Chase,-3.903574,-3.9987679,Match,
TXN-001513,2027-02-21,ACCT-726524,Citibank,4.128828,2.844725,Match,
TXN-008792,2047-01-26,ACCT-828054,HSBC,2332.458,2200.972,Break,Amount Mismatch
TXN-000120,2023-04-30,ACCT-746205,HSBC,-2.7532122,-2.9078953,Break,Amount Mismatch
TXN-007792,2044-05-01,ACCT-064333,Chase,532.3143,421.13937,Match,
TXN-006518,2040-11-04,ACCT-870508,HSBC,-4.005636,-4.097636,Match,
TXN-000034,2023-02-03,ACCT-487064,Chase,-4.0056324,-4.097633,Break,Bank Error
TXN-007888,2044-08-05,ACCT-608073,Bank of America,-4.003992,-4.0900908,Match,
TXN-006831,2041-09-13,ACCT-166182,Citibank,2588.4922,2387.2517,Match,
TXN-005422,2037-11-04,ACCT-293210,Citibank,-4.0053325,-4.097447,Break,Missing in Books
TXN-001069,2025-12-04,ACCT-385826,Bank of America,-4.0056353,-4.097634,Break,Duplicate Entry
TXN-001348,2026-09-09,ACCT-584786,HSBC,-4.000541,-4.087441,Break,Amount Mismatch
TXN-004748,2035-12-31,ACCT-732749,Wells Fargo,-3.9882112,-4.0850477,Match,
TXN-006006,2039-06-11,ACCT-533310,Chase,660.00946,660.9286,Match,
TXN-006040,2039-07-15,ACCT-725808,Bank of America,-3.4055896,-2.5419972,Break,Bank Error
TXN-003818,2033-06-14,ACCT-802393,Citibank,-4.005636,-4.097636,Break,Bank Error
TXN-008447,2046-02-15,ACCT-721689,Bank of America,-4.0046716,-4.0951786,Break,Fraudulent/Unauthorized
TXN-005270,2037-06-05,ACCT-574483,Chase,67.891,39.37951,Match,
TXN-006898,2041-11-19,ACCT-373997,HSBC,-4.0055203,-4.0973,Break,Amount Mismatch
TXN-005310,2037-07-15,ACCT-019342,HSBC,-4.0037146,-4.0959344,Break,Missing in Bank
TXN-000032,2023-02-01,ACCT-638718,Wells Fargo,-3.7494543,-3.900757,Match,
TXN-005675,2038-07-15,ACCT-593076,Bank of America,-4.0056353,-4.097632,Match,
TXN-004387,2035-01-04,ACCT-292921,Citibank,414.85452,894.5345,Match,
TXN-000030,2023-01-30,ACCT-015541,Citibank,39.880684,38.72314,Match,
TXN-004203,2034-07-04,ACCT-258041,HSBC,921.19275,971.1648,Match,
TXN-007508,2043-07-22,ACCT-040991,Citibank,-3.9597611,-4.0320582,Match,
TXN-000736,2025-01-05,ACCT-285613,Chase,2661.2622,2135.0808,Match,
TXN-002068,2028-08-29,ACCT-301786,Citibank,-3.7252355,-3.4361453,Break,Missing in Books
TXN-000107,2023-04-17,ACCT-512284,Citibank,-4.0056195,-4.0976205,Break,Duplicate Entry
TXN-009645,2049-05-28,ACCT-659187,Chase,-3.824195,-3.9258811,Match,
TXN-008895,2047-05-09,ACCT-905227,HSBC,7.878522,3.9080036,Match,
TXN-008021,2044-12-16,ACCT-274714,Chase,-4.002897,-4.094725,Match,
TXN-002233,2029-02-10,ACCT-909592,Chase,-4.0028563,-4.0951495,Match,
TXN-000994,2025-09-20,ACCT-316778,Citibank,-3.5323253,-3.4629438,Match,
TXN-009413,2048-10-08,ACCT-783906,HSBC,1490.931,1465.063,Break,Fraudulent/Unauthorized
TXN-007059,2042-04-29,ACCT-192655,Bank of America,-4.0055337,-4.0973845,Match,
TXN-006790,2041-08-03,ACCT-346310,Bank of America,-4.005632,-4.097629,Match,
TXN-000361,2023-12-27,ACCT-346698,Bank of America,-4.005632,-4.097634,Match,
TXN-000305,2023-11-01,ACCT-564070,Wells Fargo,-3.9459288,-3.9345233,Break,Duplicate Entry
TXN-002628,2030-03-12,ACCT-408771,Wells Fargo,-4.0056357,-4.0976353,Break,Missing in Books
TXN-008966,2047-07-19,ACCT-475432,Bank of America,-4.005625,-4.097617,Match,
TXN-004514,2035-05-11,ACCT-972636,Citibank,2.6109312,13.964606,Break,Duplicate Entry
TXN-005911,2039-03-08,ACCT-073779,Chase,-4.0046897,-4.0962906,Match,
TXN-008314,2045-10-05,ACCT-923599,HSBC,518.2824,644.7011,Break,Missing in Bank
TXN-003101,2031-06-28,ACCT-141826,Bank of America,-3.9927192,-4.059422,Break,Missing in Bank
TXN-005704,2038-08-13,ACCT-718146,Citibank,575.6588,504.50934,Match,
TXN-003899,2033-09-03,ACCT-129857,Wells Fargo,-3.8156528,-3.9952867,Match,
TXN-005441,2037-11-23,ACCT-009646,Bank of America,1.7966436,1.3961352,Match,
TXN-007931,2044-09-17,ACCT-015901,HSBC,-3.9537866,-4.023643,Break,Duplicate Entry
TXN-000622,2024-09-13,ACCT-330883,Citibank,-3.9863596,-4.0537257,Break,Fraudulent/Unauthorized
TXN-007236,2042-10-23,ACCT-962401,Bank of America,-4.005636,-4.097636,Match,
TXN-002499,2029-11-03,ACCT-658981,Chase,-4.0052295,-4.0973854,Match,
TXN-000714,2024-12-14,ACCT-659844,HSBC,2794.1282,2664.8867,Match,
TXN-008404,2046-01-03,ACCT-780404,Wells Fargo,43.368958,59.301533,Break,Amount Mismatch
TXN-002856,2030-10-26,ACCT-806583,Citibank,-4.005636,-4.0976357,Break,Missing in Bank
TXN-004270,2034-09-09,ACCT-701150,HSBC,439.78802,254.0265,Match,
TXN-002909,2030-12-18,ACCT-009336,Chase,2414.3535,2428.0042,Break,Duplicate Entry
TXN-008081,2045-02-14,ACCT-311993,Chase,-4.005419,-4.097483,Match,
TXN-004517,2035-05-14,ACCT-490633,Bank of America,-4.0056324,-4.097635,Match,
TXN-001262,2026-06-15,ACCT-885310,HSBC,307.69415,359.16528,Break,Missing in Bank
TXN-003161,2031-08-27,ACCT-354889,HSBC,-4.004986,-4.096644,Break,Missing in Books
TXN-000971,2025-08-28,ACCT-553043,Wells Fargo,-4.0014524,-4.0858383,Break,Bank Error
TXN-003913,2033-09-17,ACCT-148297,Citibank,325.19406,313.48886,Match,
TXN-005199,2037-03-26,ACCT-821409,Chase,2079.5437,1821.717,Match,
TXN-008847,2047-03-22,ACCT-541901,Citibank,2383.2803,2411.188,Match,
TXN-000260,2023-09-17,ACCT-245151,Citibank,-4.004777,-4.0955944,Break,Fraudulent/Unauthorized
TXN-003791,2033-05-18,ACCT-179515,Chase,2136.0864,2226.9,Break,Missing in Bank
TXN-009203,2048-03-12,ACCT-492379,Citibank,7.360611,12.720649,Match,
TXN-000488,2024-05-02,ACCT-612497,Chase,-4.0019894,-4.0890183,Break,Duplicate Entry
TXN-007908,2044-08-25,ACCT-821120,Wells Fargo,-4.0053163,-4.097428,Match,
TXN-000519,2024-06-02,ACCT-110017,Citibank,-1.3784777,7.2097063,Break,Missing in Books
TXN-008343,2045-11-03,ACCT-023339,Chase,8.419064,23.855906,Match,
TXN-000312,2023-11-08,ACCT-053723,Wells Fargo,-4.002569,-4.095117,Break,Missing in Bank
TXN-003232,2031-11-06,ACCT-042650,Citibank,-3.8876476,-3.8853972,Match,
TXN-007933,2044-09-19,ACCT-586994,Chase,-3.996051,-4.074141,Match,
TXN-007458,2043-06-02,ACCT-386273,Bank of America,98.593414,148.13957,Break,Amount Mismatch
TXN-009784,2049-10-14,ACCT-119799,Bank of America,-4.0056057,-4.097553,Break,Fraudulent/Unauthorized
TXN-005184,2037-03-11,ACCT-482629,Wells Fargo,28.924406,42.724197,Break,Amount Mismatch
TXN-008077,2045-02-10,ACCT-510872,Chase,651.90765,1052.5066,Break,Fraudulent/Unauthorized
TXN-006502,2040-10-19,ACCT-873809,Chase,2407.4868,2299.637,Match,
TXN-006791,2041-08-04,ACCT-303944,HSBC,-4.003202,-4.096513,Match,
TXN-007773,2044-04-12,ACCT-880708,Bank of America,-4.005635,-4.0976324,Break,Duplicate Entry
TXN-002738,2030-06-30,ACCT-689618,Citibank,-3.5518565,-3.6289365,Match,
TXN-007842,2044-06-20,ACCT-787798,Citibank,46.721638,101.00606,Break,Bank Error
TXN-006262,2040-02-22,ACCT-039450,Citibank,2823.2341,2769.9,Match,
TXN-008206,2045-06-19,ACCT-278143,Bank of America,11.903798,46.449017,Break,Timing Difference
TXN-001248,2026-06-01,ACCT-744458,Citibank,-4.005636,-4.097636,Break,Missing in Bank
TXN-009336,2048-07-23,ACCT-617138,HSBC,-4.0056353,-4.0976357,Match,
TXN-004195,2034-06-26,ACCT-831163,HSBC,-4.005636,-4.097636,Break,Amount Mismatch
TXN-008001,2044-11-26,ACCT-470034,Chase,-3.811574,-3.874023,Match,
TXN-007378,2043-03-14,ACCT-925649,Citibank,1796.5505,1904.2562,Match,
TXN-003435,2032-05-27,ACCT-584770,Chase,-0.6100489,3.7114928,Break,Missing in Books
TXN-005382,2037-09-25,ACCT-211434,HSBC,-2.6567962,-1.030214,Break,Amount Mismatch
TXN-000959,2025-08-16,ACCT-220501,Citibank,2793.2737,2729.7854,Match,
TXN-000417,2024-02-21,ACCT-306696,Wells Fargo,-4.0056252,-4.097631,Match,
TXN-005742,2038-09-20,ACCT-620768,Bank of America,-4.005634,-4.097631,Break,Amount Mismatch
TXN-006728,2041-06-02,ACCT-255358,Bank of America,-4.0056357,-4.0976353,Break,Missing in Bank
TXN-004382,2034-12-30,ACCT-271687,Bank of America,-4.005624,-4.0976057,Match,
TXN-005197,2037-03-24,ACCT-008365,HSBC,-4.0012374,-4.093899,Break,Timing Difference
TXN-001113,2026-01-17,ACCT-200156,Bank of America,-4.005048,-4.096601,Match,
TXN-002689,2030-05-12,ACCT-775078,Chase,807.0062,1212.6687,Break,Missing in Bank
TXN-006473,2040-09-20,ACCT-401843,HSBC,-4.0056276,-4.0976315,Match,
TXN-008820,2047-02-23,ACCT-815748,Citibank,-3.9791334,-3.990049,Match,
TXN-007808,2044-05-17,ACCT-472317,Citibank,-3.9378216,-3.9750793,Break,Missing in Bank
TXN-003411,2032-05-03,ACCT-148741,Chase,-4.005636,-4.097636,Match,
TXN-000081,2023-03-22,ACCT-738026,Wells Fargo,-3.8076682,-3.9543955,Match,
TXN-004614,2035-08-19,ACCT-931687,Chase,-4.0055733,-4.0975785,Match,
TXN-001374,2026-10-05,ACCT-123792,Citibank,-4.003072,-4.0902057,Break,Duplicate Entry
TXN-001510,2027-02-18,ACCT-370391,Chase,753.85736,1319.9459,Break,Missing in Bank
TXN-006443,2040-08-21,ACCT-064079,HSBC,137.09029,233.67021,Break,Fraudulent/Unauthorized
TXN-003071,2031-05-29,ACCT-267261,HSBC,2364.2961,2108.243,Match,
TXN-003016,2031-04-04,ACCT-731495,Chase,-3.9775162,-4.064314,Match,
TXN-004823,2036-03-15,ACCT-869731,Bank of America,66.55417,40.84287,Match,
TXN-007822,2044-05-31,ACCT-295529,Chase,1768.9286,1766.7721,Match,
TXN-000093,2023-04-03,ACCT-176291,Bank of America,-3.8148043,-2.709398,Break,Timing Difference
TXN-009421,2048-10-16,ACCT-520022,Wells Fargo,-3.9208088,-3.9032238,Break,Duplicate Entry
TXN-006600,2041-01-25,ACCT-864142,Citibank,-2.0369043,1.2862324,Break,Fraudulent/Unauthorized
TXN-004443,2035-03-01,ACCT-202362,Citibank,-3.945847,-4.000794,Break,Missing in Books
TXN-007602,2043-10-24,ACCT-829085,Chase,58.788994,116.678764,Match,
TXN-003835,2033-07-01,ACCT-359952,Bank of America,-4.005621,-4.0975695,Break,Timing Difference
TXN-009702,2049-07-24,ACCT-285025,Citibank,1541.9515,1296.8181,Match,
TXN-004322,2034-10-31,ACCT-811017,Citibank,1590.09,1721.3297,Match,
TXN-003394,2032-04-16,ACCT-485438,HSBC,-4.0052238,-4.097125,Break,Duplicate Entry
TXN-004752,2036-01-04,ACCT-354475,Citibank,132.20895,106.05004,Match,
TXN-007229,2042-10-16,ACCT-108894,Citibank,-3.9674187,-4.060753,Match,
TXN-009191,2048-02-29,ACCT-478126,Chase,19.906475,21.145334,Break,Amount Mismatch
TXN-002361,2029-06-18,ACCT-478126,Chase,1128.4872,924.9585,Match,
TXN-001148,2026-02-21,ACCT-360485,HSBC,1820.4182,2029.5101,Break,Missing in Bank
TXN-005666,2038-07-06,ACCT-712622,Chase,-3.9967678,-4.0908046,Match,
TXN-008075,2045-02-08,ACCT-931453,Bank of America,-4.0056167,-4.097566,Break,Missing in Bank
TXN-004943,2036-07-13,ACCT-871318,Chase,1491.5063,1986.2354,Match,
TXN-003663,2033-01-10,ACCT-652053,Chase,18.888493,14.284581,Match,
TXN-001563,2027-04-12,ACCT-006742,Citibank,-4.005568,-4.097603,Match,
TXN-004113,2034-04-05,ACCT-185941,Chase,-4.0028863,-4.095805,Match,
TXN-009050,2047-10-11,ACCT-219965,Chase,218.89156,436.23605,Match,
TXN-009276,2048-05-24,ACCT-891758,Bank of America,-3.7820973,-3.8581383,Match,
TXN-008538,2046-05-17,ACCT-307733,Bank of America,-4.0055866,-4.097391,Break,Amount Mismatch
TXN-000795,2025-03-05,ACCT-086123,Bank of America,663.2567,1138.4316,Match,
TXN-005854,2039-01-10,ACCT-910325,Bank of America,-3.987254,-4.0834837,Break,Missing in Books
TXN-007619,2043-11-10,ACCT-257154,Bank of America,-1.8682696,-1.3177141,Match,
TXN-001594,2027-05-13,ACCT-181433,Bank of America,-4.0056353,-4.0976353,Match,
TXN-007418,2043-04-23,ACCT-593007,HSBC,58.784264,47.114037,Match,
TXN-005267,2037-06-02,ACCT-222523,Bank of America,-3.4107842,-3.6302795,Match,
TXN-007147,2042-07-26,ACCT-337620,Citibank,-3.851922,-3.9443452,Break,Amount Mismatch
TXN-000089,2023-03-30,ACCT-584786,Citibank,-4.0056286,-4.0975986,Break,Missing in Bank
TXN-008695,2046-10-21,ACCT-406204,Bank of America,-4.005636,-4.097636,Break,Duplicate Entry
TXN-009732,2049-08-23,ACCT-362134,Bank of America,-3.9827697,-3.9567256,Break,Amount Mismatch
TXN-009446,2048-11-10,ACCT-098773,Bank of America,-4.005631,-4.0976214,Break,Timing Difference
TXN-006754,2041-06-28,ACCT-226861,Bank of America,-3.9335742,-3.9243693,Break,Missing in Bank
TXN-003502,2032-08-02,ACCT-493146,HSBC,-0.1566023,6.8798695,Break,Missing in Bank
TXN-002234,2029-02-11,ACCT-687890,Chase,1596.73,1816.2886,Break,Missing in Bank
TXN-002803,2030-09-03,ACCT-330049,HSBC,-3.139431,-2.7548938,Break,Missing in Bank
TXN-004424,2035-02-10,ACCT-029813,Bank of America,-4.005636,-4.097636,Match,
TXN-005663,2038-07-03,ACCT-202924,Citibank,-3.9837298,-4.037638,Break,Duplicate Entry
TXN-007170,2042-08-18,ACCT-637244,Chase,-3.9907084,-4.053615,Break,Duplicate Entry
TXN-008337,2045-10-28,ACCT-644348,HSBC,17.443575,23.493864,Break,Bank Error
